Date;Euribor Type
2023-09-01;4,06%
2023-08-31;4,10%
2023-08-30;4,07%
2023-08-29;4,07%
2023-08-28;4,07%
2023-08-25;4,05%
2023-08-24;4,05%
2023-08-23;4,08%
2023-08-22;4,11%
2023-08-21;4,08%
2023-08-18;4,09%
2023-08-17;4,10%
2023-08-16;4,12%
2023-08-15;4,09%
2023-08-14;4,08%
2023-08-11;4,06%
2023-08-10;4,05%
2023-08-09;4,05%
2023-08-08;4,07%
2023-08-07;4,06%
2023-08-04;4,05%
2023-08-03;4,05%
2023-08-02;4,08%
2023-08-01;4,08%
2023-07-31;4,06%
2023-07-28;4,11%
2023-07-27;4,14%
2023-07-26;4,11%
2023-07-25;4,11%
2023-07-24;4,16%
2023-07-21;4,16%
2023-07-20;4,14%
2023-07-19;4,12%
2023-07-18;4,16%
2023-07-17;4,15%
2023-07-14;4,13%
2023-07-13;4,17%
2023-07-12;4,19%
2023-07-11;4,18%
2023-07-10;4,19%
2023-07-07;4,19%
2023-07-06;4,16%
2023-07-05;4,17%
2023-07-04;4,16%
2023-07-03;4,15%
2023-06-30;4,13%
2023-06-29;4,10%
2023-06-28;4,12%
2023-06-27;4,09%
2023-06-26;4,09%
2023-06-23;4,15%
2023-06-22;4,11%
2023-06-21;4,09%
2023-06-20;4,08%
2023-06-19;4,05%
2023-06-16;4,02%
2023-06-15;3,97%
2023-06-14;3,94%
2023-06-13;3,94%
2023-06-12;3,94%
2023-06-09;3,93%
2023-06-08;3,94%
2023-06-07;3,92%
2023-06-06;3,91%
2023-06-05;3,88%
2023-06-02;3,88%
2023-06-01;3,88%
2023-05-31;3,94%
2023-05-30;3,97%
2023-05-29;3,98%
2023-05-26;3,96%
2023-05-25;3,94%
2023-05-24;3,93%
2023-05-23;3,90%
2023-05-22;3,89%
2023-05-19;3,88%
2023-05-18;3,86%
2023-05-17;3,83%
2023-05-16;3,81%
2023-05-15;3,81%
2023-05-12;3,80%
2023-05-11;3,80%
2023-05-10;3,81%
2023-05-09;3,80%
2023-05-08;3,79%
2023-05-05;3,77%
2023-05-04;3,84%
2023-05-03;3,84%
2023-05-02;3,82%
2023-04-28;3,88%
2023-04-27;3,85%
2023-04-26;3,86%
2023-04-25;3,90%
2023-04-24;3,87%
2023-04-21;3,85%
2023-04-20;3,86%
2023-04-19;3,83%
2023-04-18;3,79%
2023-04-17;3,76%
2023-04-14;3,72%
2023-04-13;3,72%
2023-04-12;3,65%
2023-04-11;3,58%
2023-04-06;3,58%
2023-04-05;3,63%
2023-04-04;3,64%
2023-04-03;3,65%
2023-03-31;3,62%
2023-03-30;3,57%
2023-03-29;3,57%
2023-03-28;3,54%
2023-03-27;3,47%
2023-03-24;3,53%
2023-03-23;3,58%
2023-03-22;3,47%
2023-03-21;3,32%
2023-03-20;3,40%
2023-03-17;3,38%
2023-03-16;3,36%
2023-03-15;3,66%
2023-03-14;3,51%
2023-03-13;3,86%
2023-03-10;3,95%
2023-03-09;3,98%
2023-03-08;3,94%
2023-03-07;3,91%
2023-03-06;3,86%
2023-03-03;3,83%
2023-03-02;3,82%
2023-03-01;3,75%
2023-02-28;3,73%
2023-02-27;3,68%
2023-02-24;3,66%
2023-02-23;3,64%
2023-02-22;3,63%
2023-02-21;3,58%
2023-02-20;3,58%
2023-02-17;3,57%
2023-02-16;3,57%
2023-02-15;3,54%
2023-02-14;3,52%
2023-02-13;3,51%
2023-02-10;3,47%
2023-02-09;3,49%
2023-02-08;3,45%
2023-02-07;3,44%
2023-02-06;3,40%
2023-02-03;3,37%
2023-02-02;3,45%
2023-02-01;3,41%
2023-01-31;3,41%
2023-01-30;3,37%
2023-01-27;3,36%
2023-01-26;3,35%
2023-01-25;3,36%
2023-01-24;3,35%
2023-01-23;3,35%
2023-01-20;3,33%
2023-01-19;3,30%
2023-01-18;3,31%
2023-01-17;3,34%
2023-01-16;3,33%
2023-01-13;3,32%
2023-01-12;3,33%
2023-01-11;3,37%
2023-01-10;3,34%
2023-01-09;3,33%
2023-01-06;3,33%
2023-01-05;3,30%
2023-01-04;3,31%
2023-01-03;3,32%
2023-01-02;3,32%
